id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha,score_total,label
1,0,3,2,4,2,4,3,4,4,4,4,2025-10-27T13:56:33.9330000,34,1
4,0,2,1,2,0,1,2,2,1,1,1,2025-10-27T13:56:41.0700000,13,0
5,1,4,4,4,3,4,1,4,3,4,4,2025-10-27T13:57:06.3300000,35,1
6,0,2,1,3,2,3,1,1,2,2,2,2025-10-27T13:57:43.6170000,19,0
7,1,2,3,3,2,2,3,2,2,4,4,2025-10-27T13:57:50.6230000,27,1
8,1,2,0,0,4,2,0,4,2,0,0,2025-10-27T13:58:03.5170000,14,0
9,0,2,3,3,3,1,3,2,2,1,1,2025-10-27T13:58:09.3670000,21,1
10,0,1,2,3,1,2,3,1,2,3,2,2025-10-27T13:58:25.0270000,20,0
11,0,2,3,2,0,2,1,2,1,4,3,2025-10-27T13:58:33.3800000,20,0
12,1,2,1,2,2,2,3,2,2,1,2,2025-10-27T13:59:08.1670000,19,0
13,1,4,3,2,1,1,4,2,2,3,4,2025-10-27T13:59:32.7800000,26,1
14,1,2,2,3,2,3,2,3,2,3,3,2025-10-27T13:59:54.8500000,25,1
15,0,2,4,4,1,3,2,1,3,3,4,2025-10-27T14:00:01.6370000,27,1
16,1,2,3,2,1,2,3,3,1,3,4,2025-10-27T14:00:07.8300000,24,1
17,0,3,1,2,2,2,1,2,2,3,2,2025-10-27T14:00:30.9770000,20,0
18,1,3,3,3,2,3,2,1,2,3,3,2025-10-27T14:01:15.0600000,25,1
19,0,1,0,2,1,1,2,1,0,1,2,2025-10-27T14:02:04.2970000,11,0
20,1,1,2,3,3,3,2,1,3,3,3,2025-10-27T14:02:12.9600000,24,1
21,1,3,2,2,1,1,2,3,2,4,3,2025-10-27T14:02:32.5530000,23,1
22,0,0,0,0,1,1,0,1,0,0,0,2025-10-27T14:03:23.2430000,3,0
23,1,4,4,4,2,1,4,2,2,3,3,2025-10-27T14:04:16.1100000,29,1
24,1,0,2,1,1,1,1,2,1,1,2,2025-10-27T14:04:28.2400000,12,0
25,1,1,2,2,1,1,2,0,2,2,2,2025-10-27T14:04:59.9030000,15,0
26,0,4,4,3,2,1,1,1,2,2,2,2025-10-27T14:05:42.0300000,22,1
27,1,2,3,2,2,2,2,2,3,3,3,2025-10-27T14:05:56.2870000,24,1
28,1,2,2,2,1,2,3,2,1,2,3,2025-10-27T14:06:23.9830000,20,0
29,1,3,3,3,2,2,2,2,2,2,2,2025-10-27T14:15:30.8900000,23,1
31,1,2,3,2,2,1,2,2,2,2,1,2025-10-27T14:15:38.6570000,19,0
33,0,0,2,2,4,2,1,0,2,2,1,2025-10-27T14:16:17.7430000,16,0
